manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
Daredevil,Swift Fox,7.0,5.0,-3.0,1.0,21.1 cm,1.7 cm,1.2 cm,1.8 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Swift-Fox
Daredevil,Wolverine,8.0,5.0,-2.0,2.0,21.2 cm,1.8 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Wolverine
Daredevil,Timberwolf,8.0,5.0,-1.0,1.0,21.1 cm,1.6 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Timberwolf
Daredevil,Ogopogo,9.0,4.0,-2.0,5.0,21.1 cm,1.5 cm,1.5 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Ogopogo
Daredevil,Buffalo,9.0,4.0,-1.0,5.0,21.2 cm,1.6 cm,1.2 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Buffalo
Daredevil,Mammoth,9.0,4.0,-1.0,5.0,21.1 cm,1.7 cm,1.2 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Mammoth
Daredevil,Sabertooth,9.0,4.0,0.0,5.0,21.0 cm,1.8 cm,1.2 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Sabertooth
Daredevil,Sasquatch,12.0,5.0,-5.0,1.0,21.0 cm,1.7 cm,1.1 cm,2.5 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Sasquatch
Daredevil,Yeti,13.0,5.0,-3.0,1.0,21.1 cm,1.6 cm,1.1 cm,2.5 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Yeti
Daredevil,Big Foot,13.0,5.0,-2.0,2.0,21.1 cm,1.6 cm,1.1 cm,2.5 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Big-Foot
Daredevil,Merlin,14.0,4.0,-1.0,5.0,21.0 cm,1.7 cm,1.1 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Merlin
Daredevil,Albatross,14.0,4.0,0.0,5.0,21.2 cm,1.6 cm,1.1 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Albatross
Daredevil,Gray Jay,14.0,4.0,0.0,5.0,21.0 cm,1.4 cm,1.1 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Gray-Jay
Disc Golf UK,The Baron,4.0,3.0,0.0,2.5,21.2 cm,2.0 cm,1.1 cm,1.6 cm,Beadless,Very Overstable,https://infinitediscs.com/Disc-Golf-UK-The-Baron
Disc Golf UK,The Duchess,5.0,4.0,-2.0,2.0,21.3 cm,1.7 cm,1.1 cm,1.8 cm,Beadless,Understable,https://infinitediscs.com/Disc-Golf-UK-The-Duchess
Disc Golf UK,The Count,7.0,4.0,-1.0,3.0,21.5 cm,1.7 cm,1.1 cm,1.7 cm,Beadless,Very Overstable,https://infinitediscs.com/Disc-Golf-UK-The-Count
Disc Golf UK,The Duke,14.0,5.0,-3.0,2.0,21.5 cm,1.9 cm,1.4 cm,1.7 cm,Beadless,Understable,https://infinitediscs.com/Disc-Golf-UK-The-Duke
Discmania,P1,2.0,3.0,0.0,0.0,21.2 cm,2.0 cm,1.5 cm,0.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-P1
Discmania,Link,2.0,3.0,0.0,1.0,21.2 cm,2.0 cm,1.5 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Link
Discmania,P1X,2.0,3.0,0.0,1.0,21.2 cm,2.0 cm,1.4 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/Discmania-P1X
Discmania,P2,2.0,3.0,0.0,1.0,21.2 cm,2.1 cm,1.5 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Discmania-P2
Discmania,Sensei,3.0,3.0,0.0,1.0,21.1 cm,1.8 cm,1.5 cm,0.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Sensei
Discmania,P3,3.0,5.0,0.0,3.0,21.2 cm,2.0 cm,1.2 cm,1.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-P3
Discmania,P3x,3.0,2.0,0.0,3.0,21.2 cm,1.9 cm,1.6 cm,1.1 cm,Beaded,Overstable,https://infinitediscs.com/Discmania-P3x
Discmania,MD,4.0,5.0,0.0,0.0,21.8 cm,2.1 cm,1.4 cm,1.4 cm,Beadless,Stable,https://infinitediscs.com/Discmania-MD
Discmania,MD1,4.0,4.0,0.0,2.0,21.7 cm,2.2 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-MD1
Discmania,MD2,4.0,5.0,0.0,2.0,21.7 cm,2.0 cm,1.4 cm,1.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-MD2-Fiend
Discmania,Maestro,4.0,3.0,0.0,2.0,21.3 cm,1.7 cm,1.3 cm,1.0 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-Maestro
