manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
Axiom,Clash,7.0,4.0,-1.0,2.0,21.1 cm,1.4 cm,1.1 cm,1.8 cm,Beadless,Overstable,https://infinitediscs.com/Axiom-Clash
Axiom,Panic,13.0,4.0,-0.5,3.0,21.1 cm,1.7 cm,1.2 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Axiom-Panic
Axiom,Tantrum,14.0,5.0,-1.5,3.0,21.1 cm,1.9 cm,1.2 cm,2.5 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Tantrum
Axiom,Tenacity,13.0,5.0,-2.5,2.0,21.1 cm,1.9 cm,1.2 cm,2.4 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Tenacity
Axiom,Thrill,11.0,4.0,0.0,3.0,21.1 cm,1.5 cm,1.1 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Axiom-Thrill
Axiom,Pyro,5.0,4.0,0.0,2.5,21.5 cm,1.6 cm,1.3 cm,1.6 cm,Beadless,Overstable,https://infinitediscs.com/Axiom-Pyro
Axiom,Mayhem,13.0,5.0,-1.5,2.0,21.1 cm,1.9 cm,1.2 cm,2.4 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Mayhem
Axiom,Wrath,9.0,4.0,-1.0,2.0,21.0 cm,1.4 cm,1.2 cm,2.0 cm,Beadless,Stable,https://infinitediscs.com/Axiom-Wrath
Axiom,Virus,9.0,5.0,-3.5,1.0,21.1 cm,1.4 cm,1.2 cm,2.0 cm,Beadless,Understable,https://infinitediscs.com/Axiom-Virus
Crosslap,Credo,3.0,2.0,0.0,3.0,21.7 cm,2.0 cm,1.6 cm,1.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Crosslap-Credo
Crosslap,Lucky,5.0,5.0,-2.0,1.0,21.7 cm,1.7 cm,1.3 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Crosslap-Lucky
DGA,Titanic,2.0,2.0,0.0,2.0,21.1 cm,2.2 cm,1.5 cm,1.0 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Titanic
DGA,Hurricane,12.0,5.0,-1.0,2.0,21.2 cm,1.6 cm,1.2 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Hurricane
DGA,Riptide,9.0,4.0,0.0,3.0,21.4 cm,1.7 cm,1.2 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Riptide
DGA,Rogue,11.0,4.0,-1.0,2.0,21.1 cm,1.7 cm,1.2 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Rogue
DGA,Sail,11.0,6.0,-3.0,1.0,21.0 cm,1.9 cm,1.1 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/DGA-Sail
DGA,Tempest,13.0,5.0,-3.0,2.0,21.1 cm,1.7 cm,1.1 cm,2.3 cm,Beadless,Understable,https://infinitediscs.com/DGA-Tempest
DGA,Torrent,14.0,5.0,-1.0,2.0,21.0 cm,1.5 cm,1.2 cm,2.4 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Torrent
DGA,Tsunami,10.0,3.0,0.0,4.0,21.2 cm,1.8 cm,1.2 cm,1.9 cm,Beadless,Very Overstable,https://infinitediscs.com/DGA-Tsunami
DGA,Undertow,10.0,4.0,-1.0,1.0,21.2 cm,1.5 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/DGA-Undertow
DGA,Banzai,8.0,4.0,0.0,3.0,21.4 cm,1.7 cm,1.2 cm,1.9 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Banzai
DGA,Flathead Cyclone,7.0,4.0,-1.0,3.0,21.3 cm,1.8 cm,1.2 cm,1.6 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Flathead-Cyclone
DGA,Hellfire,10.0,3.0,0.0,5.0,21.1 cm,1.6 cm,1.2 cm,2.2 cm,Beadless,Very Overstable,https://infinitediscs.com/DGA-Hellfire
DGA,Pipeline,8.0,5.0,0.0,2.0,21.4 cm,1.5 cm,1.1 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/DGA-Pipeline
DGA,Aftershock,4.0,3.0,0.0,2.0,21.5 cm,2.0 cm,1.2 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Aftershock
DGA,Blowfly I,2.0,2.0,-1.0,2.0,21.5 cm,2.7 cm,1.1 cm,1.5 cm,Beadless,Stable,https://infinitediscs.com/DGA-Blowfly-I
DGA,Tremor,6.0,5.0,-4.0,1.0,21.6 cm,1.7 cm,5.1 cm,1.1 cm,Beadless,Understable,https://infinitediscs.com/DGA-Tremor
DGA,Squall,6.0,4.0,-1.0,1.0,21.5 cm,1.8 cm,1.3 cm,1.3 cm,Beadless,Stable,https://infinitediscs.com/DGA-Squall
DGA,Quake,5.0,3.0,0.0,3.0,21.6 cm,1.7 cm,1.2 cm,1.5 cm,Beadless,Very Overstable,https://infinitediscs.com/DGA-Quake
DGA,Rift,5.0,4.0,-1.0,1.5,21.6 cm,1.8 cm,1.3 cm,1.5 cm,Beadless,Stable,https://infinitediscs.com/DGA-Rift
DGA,Shockwave,4.0,2.0,0.0,3.0,21.5 cm,2.2 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Shockwave
DGA,Blunt Gumbputt,2.0,2.0,0.0,2.0,21.7 cm,2.2 cm,1.9 cm,0.7 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Blunt-Gumbputt
DGA,Breaker,4.0,3.0,0.0,3.0,21.0 cm,1.7 cm,1.2 cm,1.0 cm,Beadless,Overstable,https://infinitediscs.com/DGA-Breaker
DGA,PowerDrive Gumbputt,2.0,2.0,-2.0,1.0,21.7 cm,2.2 cm,1.9 cm,0.7 cm,Beadless,Understable,https://infinitediscs.com/DGA-PowerDrive-Gumbputt
DGA,Reef,2.0,2.0,-1.0,1.0,21.2 cm,2.1 cm,1.4 cm,0.9 cm,Beaded,Understable,https://infinitediscs.com/DGA-Reef
DGA,Steady,2.0,3.0,0.0,1.0,21.2 cm,2.0 cm,1.4 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/DGA-Steady
DGA,Steady BL,2.0,4.0,0.0,2.0,21.2 cm,2.5 cm,1.5 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/DGA-Steady-BL
DGA,Blowfly II,3.0,2.0,-1.0,1.0,21.7 cm,2.3 cm,1.7 cm,1.4 cm,Beadless,Stable,https://infinitediscs.com/DGA-Blowfly-II
Daredevil,Big Foot,13.0,5.0,-2.0,2.0,21.1 cm,1.6 cm,1.1 cm,2.5 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Big-Foot
Daredevil,Gray Jay,14.0,4.0,0.0,5.0,21.0 cm,1.4 cm,1.1 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Gray-Jay
Daredevil,Caribou,4.0,5.0,-3.0,1.0,21.8 cm,2.1 cm,1.3 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Caribou
Daredevil,Great Horned Owl,2.0,3.0,0.0,1.0,21.2 cm,2.2 cm,1.4 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Great-Horned-Owl
Daredevil,Bighorn,2.0,3.0,0.0,1.0,21.2 cm,2.2 cm,1.6 cm,1.6 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Bighorn
Daredevil,Beaver,2.0,3.0,0.0,1.0,21.2 cm,2.2 cm,1.6 cm,0.9 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Beaver
Daredevil,Walrus,4.0,5.0,0.0,3.0,21.8 cm,1.9 cm,1.2 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Daredevil-Walrus
Daredevil,Pteranodon,4.0,6.0,-2.0,1.0,21.6 cm,2.3 cm,1.2 cm,1.4 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Pteranodon
Daredevil,Moose,4.0,5.0,0.0,2.0,21.8 cm,2.1 cm,1.3 cm,1.3 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Moose
Daredevil,Grizzly,4.0,4.0,-1.0,2.0,21.9 cm,2.0 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Daredevil-Grizzly
Daredevil,Albatross,14.0,4.0,0.0,5.0,21.2 cm,1.6 cm,1.1 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Albatross
Daredevil,Polar Bear,2.0,3.0,-1.0,1.0,21.2 cm,2.0 cm,1.5 cm,1.0 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Polar-Bear
Daredevil,Wolverine,8.0,5.0,-2.0,2.0,21.2 cm,1.8 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Wolverine
Daredevil,Swift Fox,7.0,5.0,-3.0,1.0,21.1 cm,1.7 cm,1.2 cm,1.8 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Swift-Fox
Daredevil,Sabertooth,9.0,4.0,0.0,5.0,21.0 cm,1.8 cm,1.2 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Sabertooth
