manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
Discraft,Anax,10.0,6.0,0.0,3.0,21.4 cm,1.7 cm,1.2 cm,1.9 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Anax
Discraft,Zeus,12.0,5.0,-1.0,3.0,21.1 cm,1.6 cm,1.2 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Zeus
Discraft,Wildcat,11.0,5.0,-2.0,3.0,21.3 cm,1.5 cm,1.2 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Wildcat
Discraft,Thrasher,12.0,5.0,-3.0,2.0,21.1 cm,1.7 cm,1.1 cm,2.1 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Thrasher
Discraft,Surge SS,11.0,5.0,-1.0,2.0,21.1 cm,1.6 cm,1.2 cm,2.1 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Surge-SS
Discraft,Surge,11.0,5.0,-1.0,3.0,21.1 cm,1.6 cm,1.2 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Surge
Discraft,Spectra,12.0,5.0,-2.0,2.0,21.4 cm,1.9 cm,1.2 cm,2.2 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Spectra
Discraft,Punisher,12.0,5.0,0.0,3.0,21.1 cm,1.5 cm,1.1 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Punisher
Discraft,Pulse,11.0,4.0,0.0,3.0,21.2 cm,1.7 cm,1.3 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Pulse
Discraft,Nuke SS,13.0,5.0,-3.0,3.0,21.2 cm,1.5 cm,1.1 cm,2.5 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Nuke-SS
Discraft,Nuke OS,13.0,4.0,0.0,4.0,21.2 cm,1.6 cm,1.2 cm,2.5 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Nuke-OS
Discraft,Nuke,13.0,5.0,-1.0,3.0,21.2 cm,1.6 cm,1.2 cm,2.5 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Nuke
Discraft,Machete,11.0,4.0,0.0,4.0,21.1 cm,1.6 cm,1.1 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Machete
Discraft,Force,12.0,5.0,0.0,3.0,21.1 cm,1.7 cm,1.2 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Force
Discraft,Flick,12.0,3.0,1.0,5.0,21.1 cm,1.3 cm,1.1 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Flick
Discraft,Flash,10.0,5.0,-2.0,3.0,21.1 cm,1.6 cm,1.2 cm,2.1 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Flash
Discraft,Crush,11.0,5.0,0.0,4.0,21.1 cm,1.7 cm,1.2 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Crush
Discraft,Crank SS,13.0,5.0,-3.0,2.0,21.1 cm,1.5 cm,1.1 cm,2.4 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Crank-SS
Discraft,Crank,13.0,5.0,-2.0,2.0,21.2 cm,1.5 cm,1.1 cm,2.3 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Crank
Discraft,Malta,5.0,4.0,1.0,3.0,21.3 cm,1.7 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Malta
Discraft,Avenger,10.0,5.0,0.0,3.0,21.2 cm,1.7 cm,1.2 cm,1.9 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Avenger
Discraft,Predator,9.0,4.0,0.0,4.0,21.2 cm,1.9 cm,1.1 cm,1.9 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Predator
Discraft,Raptor,9.0,4.0,0.0,3.0,21.3 cm,1.9 cm,1.1 cm,1.9 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Raptor
Discraft,Avenger SS,10.0,5.0,-3.0,1.0,21.4 cm,1.8 cm,1.2 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Avenger-SS
Discraft,Stalker,7.0,5.0,-1.0,2.0,21.6 cm,1.6 cm,1.2 cm,1.6 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Stalker
Discraft,Hornet,5.0,5.0,0.0,4.0,21.5 cm,1.9 cm,1.3 cm,1.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Hornet
Discraft,Hawk,4.0,5.0,-2.0,2.0,21.5 cm,1.8 cm,1.2 cm,1.2 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Hawk
Discraft,Glide,6.0,5.0,-3.0,2.0,21.5 cm,2.0 cm,1.3 cm,1.5 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Glide
Discraft,Drone,5.0,3.0,1.0,4.0,21.5 cm,2.0 cm,1.3 cm,1.5 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Drone
Discraft,Buzzz SS,5.0,4.0,-2.0,1.0,21.6 cm,2.1 cm,1.3 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Buzzz-SS
Discraft,Buzzz OS,5.0,4.0,0.0,3.0,21.7 cm,1.7 cm,1.2 cm,1.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Buzzz-OS
Discraft,Buzzz GT,5.0,5.0,0.0,1.0,21.7 cm,1.9 cm,1.3 cm,1.2 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Buzzz-GT
Discraft,Buzzz,5.0,4.0,-1.0,1.0,21.7 cm,1.9 cm,1.3 cm,1.2 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Buzzz
Discraft,Archer,6.0,5.0,-3.0,1.0,21.4 cm,1.8 cm,1.2 cm,1.2 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Archer
Discraft,Zombee,6.0,5.0,-1.0,1.0,21.6 cm,2.1 cm,1.2 cm,1.6 cm,Beadless,Stable,https://infinitediscs.com/Discraft-Zombee
Discraft,XS,8.0,5.0,-2.0,3.0,21.1 cm,1.8 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Discraft-XS
Discraft,XL,8.0,5.0,-1.0,2.0,21.1 cm,2.1 cm,1.2 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Discraft-XL
Discraft,Vulture,10.0,5.0,0.0,2.0,21.4 cm,1.6 cm,1.2 cm,1.8 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Vulture
Discraft,Undertaker,9.0,5.0,-1.0,2.0,21.1 cm,1.9 cm,1.2 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Undertaker
Discraft,Tracker,8.0,5.0,-1.0,3.0,21.2 cm,1.7 cm,1.2 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Discraft-Tracker
Discraft,Xpress,8.0,5.0,-3.0,1.0,21.1 cm,1.8 cm,1.2 cm,1.7 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Xpress
Discraft,Reaper,8.0,3.0,0.0,4.0,21.4 cm,1.5 cm,1.2 cm,1.8 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Reaper
Discraft,Talon,8.0,3.0,1.0,3.0,21.0 cm,1.5 cm,1.1 cm,1.8 cm,Beadless,Very Overstable,https://infinitediscs.com/Discraft-Talon
Discraft,Sting,7.0,5.0,-2.0,1.0,21.4 cm,1.8 cm,1.2 cm,1.6 cm,Beadless,Understable,https://infinitediscs.com/Discraft-Sting
Disctroyer,Skylark,5.0,4.0,0.0,2.0,21.7 cm,1.9 cm,1.5 cm,1.4 cm,Beadless,Overstable,https://infinitediscs.com/Disctroyer-Skylark
Disctroyer,Starling,13.0,5.0,-2.0,2.0,21.0 cm,1.7 cm,1.2 cm,2.4 cm,Beadless,Stable,https://infinitediscs.com/Disctroyer-Starling
Disctroyer,Sparrow,3.0,3.0,0.0,2.0,21.3 cm,1.9 cm,1.6 cm,1.1 cm,Beaded,Overstable,https://infinitediscs.com/Disctroyer-Sparrow
Dynamic Discs,Judge,2.0,4.0,0.0,1.0,21.2 cm,2.0 cm,1.5 cm,1.1 cm,Beaded,Stable,https://infinitediscs.com/Dynamic-Discs-Judge
Dynamic Discs,Marshal,3.0,4.0,0.0,1.0,21.2 cm,2.0 cm,1.6 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Marshal
Dynamic Discs,Slammer,3.0,2.0,0.0,3.0,21.2 cm,1.7 cm,1.1 cm,1.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Dynamic-Discs-Slammer
Dynamic Discs,Warden,2.0,4.0,0.0,0.5,21.2 cm,2.0 cm,1.5 cm,1.1 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Warden
Dynamic Discs,Getaway,9.0,5.0,-0.5,3.0,21.1 cm,1.8 cm,1.1 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-Getaway
Dynamic Discs,Felon,9.0,3.0,0.5,4.0,21.2 cm,1.8 cm,1.1 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Dynamic-Discs-Felon
Dynamic Discs,Convict,9.0,4.0,-0.5,3.0,21.2 cm,1.4 cm,1.1 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-Convict
Dynamic Discs,Breakout,8.0,5.0,-1.0,1.5,21.0 cm,1.6 cm,1.1 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Breakout
Dynamic Discs,Trespass,12.0,5.0,-1.0,3.0,21.1 cm,1.9 cm,1.1 cm,2.1 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-Trespass
Dynamic Discs,Sheriff,13.0,5.0,-1.0,2.0,21.2 cm,1.6 cm,1.1 cm,2.2 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Sheriff
Dynamic Discs,Sergeant,11.0,4.0,0.0,2.5,21.1 cm,1.7 cm,2.1 cm,2.1 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-Sergeant
Dynamic Discs,Renegade,11.0,5.0,-2.0,3.0,21.1 cm,1.7 cm,1.1 cm,2.1 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Renegade
Dynamic Discs,Raider,13.0,5.0,-0.5,3.0,21.2 cm,1.5 cm,1.1 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-Raider
Dynamic Discs,Escape,9.0,5.0,-1.0,2.0,21.1 cm,2.0 cm,1.0 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-Escape
Dynamic Discs,Maverick,7.0,4.0,-1.5,2.0,21.2 cm,1.8 cm,1.1 cm,1.7 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Maverick
Dynamic Discs,Proof,5.0,5.0,-3.0,1.0,21.5 cm,1.5 cm,1.1 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Proof
Dynamic Discs,Suspect,4.0,3.0,0.0,3.0,21.3 cm,1.6 cm,1.2 cm,1.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Dynamic-Discs-Suspect
Dynamic Discs,Vandal,9.0,5.0,-1.5,2.0,21.2 cm,1.7 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Vandal
Dynamic Discs,Gavel,3.0,5.0,-2.0,0.5,21.3 cm,1.9 cm,1.4 cm,1.4 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Gavel
Dynamic Discs,Deputy,3.0,4.0,-1.5,0.0,21.2 cm,2.0 cm,1.5 cm,1.1 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Deputy
Dynamic Discs,Witness,8.0,6.0,-3.0,1.0,21.1 cm,1.8 cm,1.1 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Witness
Dynamic Discs,Freedom,14.0,5.0,-3.0,3.0,21.2 cm,1.6 cm,1.1 cm,2.4 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Freedom
Dynamic Discs,Warrant,5.0,5.0,-2.0,0.0,21.7 cm,1.8 cm,1.4 cm,1.2 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Warrant
Dynamic Discs,Verdict,5.0,4.0,0.0,3.5,21.7 cm,1.7 cm,1.2 cm,1.5 cm,Beadless,Very Overstable,https://infinitediscs.com/Dynamic-Discs-Verdict
Dynamic Discs,Truth,5.0,5.0,-1.0,1.0,21.7 cm,1.7 cm,1.2 cm,1.5 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Truth
Dynamic Discs,EMac Truth,5.0,5.0,0.0,2.0,21.7 cm,1.8 cm,1.2 cm,1.5 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-EMac-Truth
Dynamic Discs,Evidence,5.0,5.0,-1.0,0.0,21.7 cm,1.8 cm,1.2 cm,1.4 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Evidence
Dynamic Discs,Fugitive,5.0,5.0,0.0,1.0,21.8 cm,2.1 cm,1.3 cm,1.4 cm,Beaded,Stable,https://infinitediscs.com/Dynamic-Discs-Fugitive
Dynamic Discs,Justice,5.0,1.0,0.5,4.0,21.3 cm,1.7 cm,1.3 cm,1.5 cm,Beadless,Very Overstable,https://infinitediscs.com/Dynamic-Discs-Justice
Dynamic Discs,Patrol,5.0,5.0,-3.0,1.0,21.7 cm,1.6 cm,1.2 cm,1.4 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Patrol
Dynamic Discs,Guard,2.0,5.0,0.0,0.5,21.0 cm,2.1 cm,1.6 cm,0.9 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Guard
Dynamic Discs,Thief,8.0,5.0,-1.5,2.0,21.2 cm,1.8 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Dynamic-Discs-Thief
Dynamic Discs,Enforcer,12.0,4.0,0.5,4.0,21.1 cm,1.8 cm,1.1 cm,2.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Dynamic-Discs-Enforcer
Dynamic Discs,Criminal,10.0,3.0,1.0,4.0,21.2 cm,1.5 cm,1.5 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Dynamic-Discs-Criminal
Dynamic Discs,Captain,13.0,5.0,-2.0,2.0,21.1 cm,1.6 cm,1.1 cm,2.3 cm,Beadless,Understable,https://infinitediscs.com/Dynamic-Discs-Captain
Dynamic Discs,Defender,13.0,5.0,0.0,3.0,21.0 cm,1.6 cm,1.1 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/Dynamic-Discs-Defender
Element Discs,Plutonium,3.0,3.0,0.0,1.0,21.0 cm,2.0 cm,1.5 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Element-Discs-Plutonium
Element Discs,Iridium,2.0,3.0,0.0,2.0,21.0 cm,2.1 cm,1.5 cm,0.9 cm,Beadless,Stable,https://infinitediscs.com/Element-Discs-Iridium
Element Discs,Uranium,4.0,2.0,0.0,2.0,21.2 cm,1.5 cm,1.4 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Element-Discs-Uranium
Element Discs,Radium,6.0,4.0,-1.0,2.0,21.9 cm,2.0 cm,1.1 cm,1.5 cm,Beadless,Stable,https://infinitediscs.com/Element-Discs-Radium
Element Discs,Prototype 3,4.0,3.0,0.0,2.0,21.2 cm,2.5 cm,1.9 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Element-Discs-Prototype-3
Element Discs,Lithium,5.0,4.0,-2.0,1.0,21.9 cm,1.5 cm,1.3 cm,1.5 cm,Beadless,Stable,https://infinitediscs.com/Element-Discs-Lithium
Element Discs,Chromium,9.0,5.0,-1.0,1.0,21.2 cm,1.8 cm,1.2 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Element-Discs-Chromium
Fourth Circle Discs,Dingo,5.0,5.0,0.0,3.0,21.5 cm,1.6 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Fourth-Circle-Discs-Dingo
Fourth Circle Discs,Taipan,13.0,5.0,0.0,3.0,21.1 cm,1.6 cm,1.1 cm,2.4 cm,Beadless,Overstable,https://infinitediscs.com/Fourth-Circle-Discs-Taipan
Full Turn,Traveler,9.0,4.0,0.0,2.0,21.1 cm,1.7 cm,1.2 cm,1.9 cm,Beadless,Overstable,https://infinitediscs.com/Full-Turn-Traveler
Full Turn,Cruise,13.0,4.0,-2.0,3.0,21.1 cm,1.6 cm,1.1 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/Full-Turn-Cruise
Full Turn,Drifter,9.0,4.0,-1.0,2.0,21.1 cm,1.7 cm,1.2 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Full-Turn-Drifter
Full Turn,Navigator,5.0,4.0,-1.0,2.0,21.6 cm,1.7 cm,1.5 cm,1.4 cm,Beadless,Overstable,https://infinitediscs.com/Full-Turn-Navigator
Full Turn,Passport,4.0,4.0,-1.0,1.0,21.2 cm,2.1 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Full-Turn-Passport
Full Turn,Voyage,12.0,5.0,0.0,3.0,21.1 cm,1.8 cm,1.1 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/Full-Turn-Voyage
Galaxy Disc Golf,Magneton,2.0,3.0,0.0,2.0,21.1 cm,1.9 cm,1.5 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Galaxy-Disc-Golf-Magneton
Galaxy Disc Golf,Orbit,5.0,4.0,0.0,3.0,21.2 cm,2.1 cm,1.3 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Galaxy-Disc-Golf-Orbit
Galaxy Disc Golf,Shooting Star,7.0,5.0,-2.0,1.0,21.0 cm,1.8 cm,1.2 cm,1.8 cm,Beadless,Understable,https://infinitediscs.com/Galaxy-Disc-Golf-Shooting-Star
Galaxy Disc Golf,Meteorite,11.0,3.0,-0.5,2.0,21.1 cm,1.8 cm,1.1 cm,2.1 cm,Beadless,Overstable,https://infinitediscs.com/Galaxy-Disc-Golf-Meteorite
Gateway,Siren,13.0,5.0,-2.0,1.0,21.1 cm,1.5 cm,1.4 cm,2.3 cm,Beaded,Understable,https://infinitediscs.com/Gateway-Siren
Gateway,Samurai,13.0,6.0,-2.0,1.0,21.1 cm,1.8 cm,1.2 cm,2.3 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Samurai
Gateway,Rage,10.0,5.0,-0.5,3.5,21.4 cm,1.8 cm,1.2 cm,2.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Gateway-Rage
Gateway,Ninja,11.0,5.0,0.0,2.0,21.0 cm,1.9 cm,1.2 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/Gateway-Ninja
Gateway,Journey,12.0,6.0,-2.0,1.0,21.2 cm,1.9 cm,1.1 cm,2.2 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Journey
Gateway,Illusion,11.0,5.0,-1.0,3.0,21.4 cm,1.5 cm,1.1 cm,2.1 cm,Beadless,Overstable,https://infinitediscs.com/Gateway-Illusion
Gateway,Slayer,13.0,5.0,-1.0,2.0,21.0 cm,1.7 cm,1.2 cm,2.3 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Slayer
Gateway,Speed Demon,12.0,3.0,0.0,4.0,21.1 cm,1.8 cm,1.2 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Gateway-Speed-Demon
Gateway,Apache,9.0,4.0,-1.0,2.0,21.0 cm,2.0 cm,1.2 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Apache
Gateway,Assassin,9.0,6.0,-2.0,1.0,21.0 cm,1.9 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Assassin
Gateway,Wizard,2.0,3.0,0.0,2.0,21.0 cm,2.1 cm,1.8 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Gateway-Wizard
Gateway,Warspear,2.0,3.0,0.0,2.5,21.2 cm,1.8 cm,1.3 cm,1.0 cm,Beadless,Overstable,https://infinitediscs.com/Gateway-Warspear
Gateway,Warlock,2.0,3.0,0.0,1.0,21.1 cm,2.3 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Warlock
Gateway,Voodoo,3.0,4.0,0.0,1.0,21.1 cm,2.1 cm,1.6 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Voodoo
Gateway,Training Wizard,3.0,5.0,0.0,2.0,21.0 cm,2.1 cm,1.0 cm,1.8 cm,Beaded,Overstable,https://infinitediscs.com/Gateway-Training-Wizard
Gateway,Shaman,3.0,3.0,-1.0,1.0,21.1 cm,1.8 cm,1.3 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Shaman
Gateway,Magic,2.0,3.0,-1.0,0.0,21.0 cm,2.1 cm,1.5 cm,1.0 cm,Beadless,Understable,https://infinitediscs.com/Gateway-Magic
Gateway,Devil Hawk,3.0,3.0,0.0,2.0,21.1 cm,1.7 cm,1.3 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Devil-Hawk
Gateway,Chief OS,3.0,3.0,0.0,2.0,21.1 cm,1.7 cm,1.3 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Gateway-Chief-OS
Gateway,Diablo,11.0,5.0,-1.0,2.0,21.6 cm,1.3 cm,1.1 cm,2.2 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Diablo
Gateway,Scout,6.0,5.0,-1.0,2.0,21.8 cm,2.1 cm,1.1 cm,1.4 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Scout
Gateway,Warrior,5.0,4.0,0.0,3.0,22.0 cm,1.9 cm,1.2 cm,1.4 cm,Beaded,Overstable,https://infinitediscs.com/Gateway-Warrior
Gateway,Prophecy,5.0,5.0,0.0,2.0,21.9 cm,1.7 cm,1.2 cm,1.5 cm,Beaded,Stable,https://infinitediscs.com/Gateway-Prophecy
Gateway,Mystic,5.0,5.0,-2.0,0.0,21.8 cm,1.9 cm,1.1 cm,1.5 cm,Beadless,Understable,https://infinitediscs.com/Gateway-Mystic
Gateway,Karma,7.0,5.0,-1.0,2.0,21.9 cm,1.9 cm,1.1 cm,1.4 cm,Beaded,Overstable,https://infinitediscs.com/Gateway-Karma
Gateway,Element,5.0,5.0,-1.0,1.0,22.1 cm,1.7 cm,1.3 cm,1.3 cm,Beadless,Understable,https://infinitediscs.com/Gateway-Element
Gateway,Chief,3.0,3.0,0.0,1.0,21.1 cm,1.7 cm,1.3 cm,1.0 cm,Beaded,Overstable,https://infinitediscs.com/Gateway-Chief
Gateway,Blaze,7.0,5.0,0.0,3.0,21.1 cm,1.9 cm,1.2 cm,1.7 cm,Beadless,Very Overstable,https://infinitediscs.com/Gateway-Blaze
Gateway,Spear,9.0,6.0,-2.0,1.0,21.2 cm,1.4 cm,1.1 cm,2.0 cm,Beadless,Understable,https://infinitediscs.com/Gateway-Spear
Gateway,Sabre,8.0,5.0,-1.0,1.0,21.2 cm,1.8 cm,1.2 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Sabre
Gateway,Hybrid,7.0,4.0,-0.5,3.0,21.2 cm,2.2 cm,1.3 cm,1.7 cm,Beadless,Overstable,https://infinitediscs.com/Gateway-Hybrid
Gateway,Blaze,7.0,5.0,0.0,3.0,21.1 cm,1.9 cm,1.2 cm,1.7 cm,Beadless,Very Overstable,https://infinitediscs.com/Gateway-Blaze
Gateway,Blade,9.0,5.0,0.0,3.0,21.1 cm,1.4 cm,1.2 cm,1.9 cm,Beadless,Very Overstable,https://infinitediscs.com/Gateway-Blade
Gateway,Spirit,12.0,4.0,0.0,4.0,21.1 cm,1.8 cm,1.1 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Gateway-Spirit
Gateway,Apex,12.0,6.0,-1.0,2.0,21.5 cm,1.9 cm,1.1 cm,2.3 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Apex
Gateway,Demon,6.0,3.0,0.0,4.0,21.1 cm,1.9 cm,1.2 cm,1.7 cm,Beadless,Very Overstable,https://infinitediscs.com/Gateway-Demon
Gateway,Apache,9.0,4.0,-1.0,2.0,21.0 cm,2.0 cm,1.2 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Gateway-Apache
Guru Disc Golf,Thor,4.0,4.0,0.0,2.0,21.7 cm,2.1 cm,1.3 cm,1.3 cm,Beaded,Overstable,https://infinitediscs.com/Guru-Disc-Golf-Thor
Guru Disc Golf,Mjolner,2.0,3.0,0.0,1.0,21.2 cm,2.0 cm,1.5 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/Guru-Disc-Golf-Mjolner
Guru Disc Golf,Midgard,6.0,5.0,-1.0,1.0,21.1 cm,1.7 cm,1.1 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Guru-Disc-Golf-Midgard
Hyzer Bomb,Tank-Panzer,2.0,2.0,0.0,3.0,21.2 cm,2.1 cm,1.4 cm,1.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Hyzer-Bomb-Tank-Panzer
Hyzer Bomb,Tank,2.0,2.0,0.0,2.0,21.2 cm,2.0 cm,1.3 cm,0.9 cm,Beadless,Overstable,https://infinitediscs.com/Hyzer-Bomb-Tank
Hyzer Bomb,Mortar,5.0,4.0,0.0,3.0,21.2 cm,1.9 cm,1.4 cm,1.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Hyzer-Bomb-Mortar
Hyzer Bomb,Veteran,7.0,4.0,0.0,1.0,21.1 cm,1.8 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Hyzer-Bomb-Veteran
Hyzer Bomb,Moab,6.0,4.0,1.0,5.0,21.9 cm,1.7 cm,1.2 cm,1.8 cm,Beadless,Very Overstable,https://infinitediscs.com/Hyzer-Bomb-Moab
Hyzer Bomb,Marksman,9.0,5.0,-1.0,2.0,21.2 cm,1.4 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Hyzer-Bomb-Marksman
Hyzer Bomb,Sabot,11.0,4.0,0.0,5.0,21.1 cm,1.7 cm,1.2 cm,2.2 cm,Beadless,Very Overstable,https://infinitediscs.com/Hyzer-Bomb-Sabot
Infinite Discs,Tomb,3.0,4.0,0.0,1.0,21.2 cm,1.7 cm,1.4 cm,1.1 cm,Beaded,Stable,https://infinitediscs.com/Infinite-Discs-Tomb
Infinite Discs,Scarab,2.0,4.0,0.0,1.0,21.2 cm,2.1 cm,1.5 cm,1.0 cm,Beaded,Stable,https://infinitediscs.com/Infinite-Discs-Scarab
Infinite Discs,Ruin,3.0,3.0,0.0,3.0,21.2 cm,1.8 cm,1.4 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Infinite-Discs-Ruin
Infinite Discs,Cohort,3.5,4.0,0.0,1.0,21.1 cm,1.8 cm,1.3 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Infinite-Discs-Cohort
Infinite Discs,Ra,5.0,4.0,0.0,2.5,21.8 cm,2.0 cm,1.3 cm,1.4 cm,Beaded,Overstable,https://infinitediscs.com/Infinite-Discs-Ra
Infinite Discs,Myth,2.0,3.0,0.0,2.0,21.1 cm,2.1 cm,1.5 cm,1.1 cm,Beaded,Stable,https://infinitediscs.com/Infinite-Discs-Myth
Infinite Discs,Anubis,5.0,5.0,0.0,0.0,21.8 cm,2.1 cm,1.3 cm,1.4 cm,Beadless,Understable,https://infinitediscs.com/Infinite-Discs-Anubis
